idade,genero,etnia,pcd,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
26,0,0,0,6,4,2,1,0,4,1,4
29,0,1,0,15,5,2,1,0,4,3,1
52,0,0,0,18,4,0,6,0,3,2,4
22,0,0,0,18,4,0,1,0,1,1,3
29,1,0,0,15,4,0,1,0,12,3,2
30,0,3,0,6,5,0,6,0,11,3,0
24,0,1,0,18,4,6,1,0,8,0,0
21,1,2,0,24,6,0,1,0,9,3,3
44,0,0,0,3,5,1,1,0,0,3,0
39,0,1,0,18,5,3,6,0,5,1,4
25,0,1,0,12,4,0,2,0,4,3,3
26,0,1,0,14,4,2,0,0,3,0,4
23,0,1,0,4,5,1,1,0,3,1,3
30,0,0,0,7,4,2,1,0,1,2,7
40,0,0,0,16,6,0,6,1,1,2,2
21,0,0,0,24,5,0,5,1,3,2,2
34,0,0,0,14,5,0,6,1,2,2,5
31,0,0,0,24,5,0,5,0,11,0,3
25,0,0,0,12,4,0,1,0,4,1,1
30,0,2,0,18,6,4,4,0,11,1,3
44,0,1,0,24,4,2,1,0,5,3,10
30,0,0,0,7,4,2,1,0,5,1,5
30,0,0,0,17,5,0,1,0,3,1,4
36,0,3,0,24,5,0,6,2,5,1,3
39,1,0,0,12,4,1,1,0,8,3,1
28,1,0,0,8,5,1,0,0,3,3,0
34,1,1,0,12,5,7,1,1,6,1,10
39,0,0,0,4,6,1,2,0,6,1,6
27,0,1,0,4,4,0,0,0,2,0,10
33,0,0,0,18,5,3,0,0,3,0,4
34,0,1,0,24,4,0,4,0,4,3,10
37,0,0,0,10,4,0,1,0,2,2,4
23,0,0,0,5,4,0,1,0,3,0,8
29,0,0,0,18,6,8,1,0,10,0,1
32,0,0,0,8,5,2,1,0,5,0,4
24,1,0,0,24,4,0,2,0,4,0,1
35,0,0,0,20,5,0,1,3,5,2,1
23,0,1,0,13,4,2,0,0,1,0,0
25,0,1,0,5,5,3,0,0,11,2,4
36,1,0,0,20,5,4,3,1,2,0,0
36,0,0,0,15,5,3,1,0,1,2,4
28,0,2,0,16,4,3,1,0,0,3,4
29,0,1,0,4,4,4,1,0,2,1,4
31,0,0,0,24,5,1,1,0,4,1,1
26,0,2,0,25,5,2,1,0,5,2,0
36,0,0,0,15,5,4,2,0,7,1,1
27,0,0,0,9,5,8,2,0,6,2,0
32,0,3,0,24,4,1,3,0,4,1,2
31,1,0,0,24,5,1,4,6,7,0,2
31,1,0,0,24,5,0,6,0,13,2,6
41,0,3,0,24,6,0,0,0,6,1,3
31,0,0,0,19,5,2,1,2,2,2,4
27,1,3,0,24,4,3,1,0,0,0,0
32,0,0,0,4,5,2,2,0,7,3,4
27,1,1,0,12,4,2,1,1,6,1,3
23,0,0,0,7,4,2,1,0,5,1,5
31,1,0,0,12,6,2,0,0,2,2,1
29,0,1,0,24,4,2,1,0,2,1,3
32,1,0,0,24,4,7,1,0,4,1,3
25,1,1,0,12,4,8,1,0,2,1,6
31,0,0,0,24,6,0,1,0,7,0,0
25,1,0,0,24,4,7,0,0,5,3,1
